capture_id,seg_road,seg_sidewalk,seg_building,seg_wall,seg_fence,seg_pole,seg_traffic light,seg_traffic sign,seg_vegetation,seg_terrain,seg_sky,seg_person,seg_rider,seg_car,seg_truck,seg_bus,seg_train,seg_motorcycle,seg_bicycle,GVI,SVF,enclosure,Hue_Mean,Saturation_Mean,Lightness_Mean,Canny_Edges,cv_status,cv_error
bcn-0029,0.388959375,0.0119989583333333,0.2398125,3.541666666666667e-05,0.003940625,0.0001625,0.0,0.0004114583333333,0.26888125,0.0,0.0,0.0054916666666666,0.0,0.080084375,0.0,0.000221875,0.0,0.0,0.0,0.26888125,0.0,0.2437885416666667,59.988121875,61.94700520833333,94.16472083333332,40.14390625,ok,
bcn-0039,0.46024375,0.0013479166666666,0.22376875,0.0,0.0163104166666666,0.000634375,0.0,0.0037,0.2225083333333333,0.0,0.0,0.0341010416666666,0.0,0.0259427083333333,0.0014541666666666,0.000153125,0.0,0.00048125,0.0093541666666666,0.2225083333333333,0.0,0.2400791666666666,47.76014479166667,64.05677604166667,99.22924270833332,37.8770625,ok,
bcn-0084,0.2255625,0.0170541666666666,0.6881666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034791666666666,0.0436395833333333,0.0,0.0220875,0.0,0.0,1.0416666666666666e-05,0.0,0.0,0.0,0.0034791666666666,0.6881666666666667,66.8946625,64.23685,106.14326875,40.490546875,ok,
bcn-0131,0.1338114583333333,0.00153125,0.5167864583333334,0.0,0.0379572916666666,0.0,0.0,0.0,0.0028208333333333,0.0,0.0,0.3039239583333333,0.0,0.00025625,0.0,0.0,0.0,0.0,0.0029125,0.0028208333333333,0.0,0.55474375,61.206460416666665,62.5300875,108.39940833333333,43.4785625,ok,
bcn-0144,0.4018635416666666,0.0036145833333333,0.536684375,0.0,5.833333333333333e-05,0.0,0.0,0.0,0.0075166666666666,0.0,0.017346875,0.0323333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0005822916666666,0.0075166666666666,0.017346875,0.5367427083333334,73.91036458333333,42.317085416666664,111.54185416666668,28.380171875,ok,
bcn-0159,0.5001416666666667,0.022634375,0.1352979166666666,0.0007447916666666,0.0172697916666666,0.007265625,4.0625e-05,0.00070625,0.2960739583333333,0.0,0.0035010416666666,0.0086770833333333,0.0,0.0005166666666666,3.125e-06,0.0,0.000225,0.0034135416666666,0.0034885416666666,0.2960739583333333,0.0035010416666666,0.1533125,76.66128020833334,35.62425104166667,154.42772708333334,52.05825,ok,
bcn-0230,0.33831875,0.0,0.323946875,0.0,0.1353458333333333,0.0008052083333333,2.0833333333333334e-06,0.0010572916666666,0.178896875,0.0,0.0,0.00576875,0.0003052083333333,0.0101427083333333,0.00171875,0.0,0.0023208333333333,0.0,0.0013708333333333,0.178896875,0.0,0.4592927083333333,50.80254583333333,48.848015625,127.21416041666669,34.392328125,ok,
bcn-0243,0.3740875,0.0019479166666666,0.4556322916666667,4.791666666666667e-05,0.001225,0.0,0.0,0.0554708333333333,0.0604708333333333,0.0,0.0,0.041425,0.0,0.0031010416666666,0.00406875,0.0,0.0,0.0,0.0025229166666666,0.0604708333333333,0.0,0.4569052083333333,78.92062291666667,65.07941979166667,109.37172916666668,48.653734375,ok,
bcn-0251,0.1067041666666666,0.01313125,0.582009375,0.0001270833333333,0.0246697916666666,1.0416666666666667e-06,0.0,0.0,0.114621875,0.0,0.0013802083333333,0.0359302083333333,0.0,0.112625,0.008075,0.0,0.0,0.000725,0.0,0.114621875,0.0013802083333333,0.6068062500000001,68.40544895833334,45.68715520833333,117.28969895833332,35.63146875,ok,
bcn-0273,0.2093520833333333,0.0009541666666666,0.5820885416666667,0.0,0.0132645833333333,0.0,0.0,0.000578125,0.0002989583333333,0.0,0.0032625,0.077925,0.0,0.109040625,0.0,3.6458333333333336e-05,0.0,0.0,0.0031989583333333,0.0002989583333333,0.0032625,0.595353125,67.23087604166666,41.590045833333335,120.84173645833332,36.939671875,ok,
bcn-0329,0.1958625,0.00055625,0.6889260416666667,0.0,0.0,0.0,0.0,3.0208333333333337e-05,0.000178125,0.0,0.0,0.1022145833333333,0.0,0.0071697916666666,0.0,0.0,0.0,0.0,0.0050625,0.000178125,0.0,0.6889260416666667,68.88068958333334,51.050565625,115.72382083333332,38.063,ok,
bcn-0376,0.3220072916666666,0.003378125,0.615246875,0.0,0.0,0.0003322916666666,0.0,0.0,0.0,0.0,0.0,0.0504260416666666,0.0,0.0044208333333333,0.0041885416666666,0.0,0.0,0.0,0.0,0.0,0.0,0.615246875,85.5760125,54.31289270833334,114.0837125,41.616,ok,
