capture_id,task_id,vlm_model,prompt_hash,cache_hit,vlm_safe,vlm_lively,vlm_beautiful,vlm_wealthy,vlm_boring,vlm_depressing,vlm_status,vlm_error
201311_113.8327226_22.588928800000005.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.83,0.08,0.62,0.22,0.76,0.18,ok,
201311_113.83766518162263_22.641416403895732.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.74,0.16,0.38,0.42,0.88,0.26,ok,
201311_113.87865392033376_22.61317748414232.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.72,0.18,0.68,0.57,0.66,0.08,ok,
201311_113.882861_22.6128348.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.84,0.18,0.78,0.76,0.58,0.08,ok,
201311_113.9022082_22.590201799999996.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.76,0.22,0.61,0.57,0.71,0.11,ok,
201311_113.97215286575438_22.599851368800312.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.84,0.22,0.66,0.45,0.58,0.12,ok,
201311_113.9824091_22.594394199999996.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.63,0.29,0.56,0.74,0.47,0.16,ok,
201311_114.0367137_22.625328199999995.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.76,0.38,0.62,0.55,0.46,0.12,ok,
201311_114.07813510000001_22.5592236.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.71,0.62,0.57,0.48,0.33,0.12,ok,
201311_114.1331646_22.6036264.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.67,0.43,0.52,0.46,0.43,0.18,ok,
201311_114.158799_22.6090681.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.74,0.56,0.52,0.48,0.54,0.12,ok,
201311_114.16919617982792_22.62714279983004.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.79,0.18,0.72,0.41,0.78,0.12,ok,
201311_114.1708255_22.6072058.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.78,0.43,0.48,0.34,0.42,0.21,ok,
201311_114.1832046_22.5984266.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.74,0.52,0.73,0.42,0.32,0.12,ok,
201312_113.8235017_22.698809100000002.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.67,0.56,0.48,0.55,0.41,0.2,ok,
201312_113.83443584337306_22.74126975401547.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.72,0.18,0.41,0.52,0.77,0.22,ok,
201312_113.8374755_22.647390599999994.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.77,0.26,0.63,0.54,0.58,0.16,ok,
201312_113.85777283738314_22.642709229323334.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.8,0.25,0.6,0.55,0.7,0.15,ok,
201312_113.876258209507_22.67064777876147.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.74,0.18,0.55,0.46,0.73,0.16,ok,
201312_113.8844253_22.668941099999998.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.66,0.62,0.48,0.52,0.38,0.29,ok,
201312_113.89281280000002_22.556411099999995.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.82,0.62,0.68,0.57,0.46,0.08,ok,
201312_113.9201526_22.757344299999996.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.74,0.18,0.46,0.52,0.72,0.16,ok,
201312_113.9429058_22.681555399999997.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.56,0.68,0.43,0.46,0.42,0.31,ok,
201312_113.9569087_22.710923500000003.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.78,0.12,0.49,0.58,0.76,0.18,ok,
201312_113.96037321245348_22.71031364112373.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.72,0.18,0.35,0.48,0.77,0.22,ok,
201312_113.9663157_22.5911024.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.78,0.23,0.56,0.62,0.67,0.18,ok,
201312_114.02460795663488_22.690583366445924.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.62,0.31,0.28,0.41,0.73,0.24,ok,
201312_114.1465315_22.64902.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.72,0.34,0.46,0.52,0.66,0.18,ok,
201312_114.15496564402403_22.68774104495292.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.62,0.34,0.41,0.58,0.63,0.28,ok,
201312_114.1675356_22.644914899999993.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.73,0.22,0.41,0.62,0.68,0.21,ok,
201312_114.18655560000002_22.637104.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.72,0.54,0.49,0.47,0.41,0.18,ok,
201312_114.19316369793675_22.635618175979587.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.73,0.38,0.41,0.36,0.62,0.23,ok,
201312_114.1943834_22.631455699999997.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.72,0.22,0.41,0.48,0.67,0.18,ok,
201312_114.2010636_22.665965500000006.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.78,0.12,0.34,0.31,0.76,0.18,ok,
201312_114.2148053_22.727966299999995.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.74,0.28,0.56,0.63,0.62,0.18,ok,
201312_114.2280303_22.6858936.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.84,0.16,0.57,0.52,0.74,0.12,ok,
201312_114.2380314_22.670535799999996.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.56,0.32,0.43,0.44,0.72,0.18,ok,
201312_114.26495182895304_22.709595012731427.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.71,0.27,0.49,0.58,0.75,0.19,ok,
201312_114.2829641_22.722505.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.76,0.42,0.61,0.58,0.63,0.16,ok,
201312_114.297774_22.668009000000005.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.79,0.58,0.46,0.56,0.44,0.12,ok,
201312_114.3024738_22.713602799999997.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.63,0.58,0.38,0.52,0.41,0.22,ok,
201312_114.3081115_22.7803939.png,urban_perception_sixdim,gpt-5.4-mini,477e2d92650869ad,False,0.74,0.18,0.42,0.55,0.83,0.22,ok,
